zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
501,UNIQUE,0,Holtsville,,I R S Service Center,NY,Suffolk County,America/New_York,631,NA,US,40.81,-73.04,562
544,UNIQUE,0,Holtsville,,Irs Service Center,NY,Suffolk County,America/New_York,631,NA,US,40.81,-73.04,0
6390,PO BOX,0,Fishers Island,Fishers Isle,,NY,Suffolk County,America/New_York,631,NA,US,41.27,-71.99,286
11001,STANDARD,0,Floral Park,"Bellerose Vil, Bellerose Village, S Floral Park, South Floral Park","Bellerose Terrace, Bellrose Village, So Floral Park",NY,Nassau County,America/New_York,"516,718",NA,US,40.72,-73.7,26970
11003,STANDARD,0,Elmont,"Alden Manor, Floral Park, Meacham","Argo Village, Locustwood",NY,Nassau County,America/New_York,516,NA,US,40.7,-73.7,44160
11010,STANDARD,0,Franklin Square,Franklin Sq,,NY,Nassau County,America/New_York,516,NA,US,40.7,-73.67,23400
11020,STANDARD,0,Great Neck,Lake Success,"Great Nk, Grt Neck, Gt Neck, University Gardens",NY,Nassau County,America/New_York,516,NA,US,40.77,-73.71,6230
11021,STANDARD,0,Great Neck,"Great Nck Plz, Great Neck Plaza","Allenwood, Great Neck Estates, Kensington, Russell Gardens, Saddle Rock Estates, Thomaston",NY,Nassau County,America/New_York,516,NA,US,40.78,-73.73,17310
11022,PO BOX,0,Great Neck,,Lake Gardens,NY,Nassau County,America/New_York,516,NA,US,40.8,-73.73,603
11023,STANDARD,0,Great Neck,,"Harbor Hills, Old Village, Saddle Rock",NY,Nassau County,America/New_York,516,NA,US,40.8,-73.73,8930
11024,STANDARD,0,Great Neck,Kings Point,"Kenilworth, Usmma",NY,Nassau County,America/New_York,516,NA,US,40.82,-73.74,6710
11025,UNIQUE,1,Great Neck,,American Express,NY,Nassau County,America/New_York,516,NA,US,40.8,-73.72,0
11026,PO BOX,0,Great Neck,,,NY,Nassau County,America/New_York,516,NA,US,40.8,-73.73,0
11027,PO BOX,0,Great Neck,,,NY,Nassau County,America/New_York,516,NA,US,40.8,-73.73,0
11030,STANDARD,0,Manhasset,Plandome,,NY,Nassau County,America/New_York,516,NA,US,40.79,-73.69,18210
11040,STANDARD,0,New Hyde Park,"Garden City P, Garden City Park, Hillside Manor, Hillside Mnr, Manhasset Hil, Manhasset Hills, N New Hyde Pk, North Hills, North New Hyde Park","Gdn City Park, Herricks, Lake Success, Lakeville Estates, N H P, No New Hyde Park",NY,Nassau County,America/New_York,516,NA,US,40.73,-73.68,42610
11041,UNIQUE,1,New Hyde Park,,Visa,NY,Nassau County,America/New_York,516,NA,US,40.73,-73.68,0
11042,STANDARD,0,New Hyde Park,"N New Hyde Pk, North New Hyde Park",Lake Success,NY,Nassau County,America/New_York,516,NA,US,40.76,-73.7,380
11043,UNIQUE,1,New Hyde Park,,Independent Elect Of Amer,NY,Nassau County,America/New_York,516,NA,US,40.73,-73.68,0
11044,UNIQUE,1,New Hyde Park,Eastern States Bkcard Assoc,,NY,Nassau County,America/New_York,516,NA,US,40.73,-73.68,0
11050,STANDARD,0,Port Washington,"Prt Washingtn, Sands Point","Baxter Estates, Harbor Acres, Manorhaven, Port Wash, Pr Wash, Pr Wshngtn, Pt Wash, The Terrace",NY,Nassau County,America/New_York,516,NA,US,40.82,-73.68,29680
11051,UNIQUE,0,Port Washington,Prt Washingtn,Publishers Clearing Hse Brm,NY,Nassau County,America/New_York,516,NA,US,40.82,-73.68,0
11052,UNIQUE,0,Port Washington,Prt Washingtn,Publishers Clear House,NY,Nassau County,America/New_York,516,NA,US,40.82,-73.68,0
11053,UNIQUE,0,Port Washington,Prt Washingtn,Publishers Clearing House,NY,Nassau County,America/New_York,516,NA,US,40.82,-73.68,0
11054,UNIQUE,0,Port Washington,Prt Washingtn,Publishers Clearing House,NY,Nassau County,America/New_York,516,NA,US,40.82,-73.68,0
11055,UNIQUE,0,Port Washington,Prt Washingtn,Publishers Clearing House,NY,Nassau County,America/New_York,516,NA,US,40.82,-73.68,0
11096,STANDARD,0,Inwood,Far Rockaway,Inwood Finance,NY,Nassau County,America/New_York,"516,718,347,929",NA,US,40.62,-73.75,7670
11099,UNIQUE,1,New Hyde Park,,Eastern States Bkcard Assoc,NY,Nassau County,America/New_York,516,NA,US,40.73,-73.68,0
11501,STANDARD,0,Mineola,,,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.64,19150
11507,STANDARD,0,Albertson,,,NY,Nassau County,America/New_York,"516,718",NA,US,40.77,-73.64,7610
11509,STANDARD,0,Atlantic Beach,Atlantic Bch,,NY,Nassau County,America/New_York,516,NA,US,40.59,-73.73,2290
11510,STANDARD,0,Baldwin,"N Baldwin, North Baldwin",Baldwin Harbor,NY,Nassau County,America/New_York,516,NA,US,40.66,-73.61,32870
11514,STANDARD,0,Carle Place,,,NY,Nassau County,America/New_York,"516,631",NA,US,40.75,-73.61,4590
11516,STANDARD,0,Cedarhurst,,,NY,Nassau County,America/New_York,516,NA,US,40.63,-73.73,7990
11518,STANDARD,0,East Rockaway,,E Rockaway,NY,Nassau County,America/New_York,516,NA,US,40.64,-73.66,10240
11520,STANDARD,0,Freeport,,,NY,Nassau County,America/New_York,516,NA,US,40.65,-73.58,42530
11530,STANDARD,0,Garden City,"Garden City S, Garden City South, Stewart Manor","Mitchell Field, Roosevelt Field",NY,Nassau County,America/New_York,"631,718,516",NA,US,40.72,-73.64,28860
11531,PO BOX,0,Garden City,,Roosevelt Field,NY,Nassau County,America/New_York,516,NA,US,40.72,-73.64,176
11535,UNIQUE,0,Garden City,,Abmps,NY,Nassau County,America/New_York,516,NA,US,40.72,-73.64,0
11536,UNIQUE,1,Garden City,Select And Save,,NY,Nassau County,America/New_York,516,NA,US,40.67,-73.7,0
11542,STANDARD,0,Glen Cove,,,NY,Nassau County,America/New_York,516,NA,US,40.86,-73.63,23880
11545,STANDARD,0,Glen Head,,"Brookville, Muttontown, Old Brookville, Roslyn Harbor, Upper Brookville",NY,Nassau County,America/New_York,516,NA,US,40.84,-73.61,11620
11547,PO BOX,0,Glenwood Landing,Glenwood Lndg,,NY,Nassau County,America/New_York,516,NA,US,40.83,-73.64,1045
11548,STANDARD,0,Greenvale,,"Brookville, E Hills, East Hills, Old Brookville, Roslyn Harbor",NY,Nassau County,America/New_York,516,NA,US,40.81,-73.63,1270
11549,UNIQUE,0,Hempstead,Hofstra Univ,Hoffmeister,NY,Nassau County,America/New_York,516,NA,US,40.72,-73.6,32
11550,STANDARD,0,Hempstead,"S Hempstead, South Hempstead",,NY,Nassau County,America/New_York,"516,718",NA,US,40.7,-73.61,52300
11551,PO BOX,0,Hempstead,,,NY,Nassau County,America/New_York,516,NA,US,40.7,-73.61,1239
11552,STANDARD,0,West Hempstead,W Hempstead,Lakeview,NY,Nassau County,America/New_York,516,NA,US,40.69,-73.65,24880
11553,STANDARD,0,Uniondale,,Mitchell Field,NY,Nassau County,America/New_York,516,NA,US,40.7,-73.59,25970
11554,STANDARD,0,East Meadow,,E Meadow,NY,Nassau County,America/New_York,516,NA,US,40.71,-73.55,37020
11555,UNIQUE,0,Uniondale,,Citibank,NY,Nassau County,America/New_York,516,NA,US,40.7,-73.59,0
11556,STANDARD,0,Uniondale,,,NY,Nassau County,America/New_York,516,NA,US,40.72,-73.58,14
11557,STANDARD,0,Hewlett,,"Hewlett Bay, Hewlett Bay Park, Hewlett Harbor",NY,Nassau County,America/New_York,516,NA,US,40.64,-73.69,8080
11558,STANDARD,0,Island Park,,"Barnum Island, Harbor Island, Harbor Isle",NY,Nassau County,America/New_York,516,NA,US,40.6,-73.64,7560
11559,STANDARD,0,Lawrence,,Meadowmere Park,NY,Nassau County,America/New_York,"516,718",NA,US,40.6,-73.71,8450
11560,STANDARD,0,Locust Valley,,"Lattingtown, Matinecock",NY,Nassau County,America/New_York,516,NA,US,40.88,-73.58,6320
11561,STANDARD,0,Long Beach,"E Atlantc Bch, E Atlantic Beach, East Atlantic Beach, Lido Beach",,NY,Nassau County,America/New_York,516,NA,US,40.59,-73.65,31560
11563,STANDARD,0,Lynbrook,,,NY,Nassau County,America/New_York,516,NA,US,40.65,-73.67,21470
11565,STANDARD,0,Malverne,,,NY,Nassau County,America/New_York,516,NA,US,40.67,-73.67,8900
11566,STANDARD,0,Merrick,"N Merrick, North Merrick",,NY,Nassau County,America/New_York,516,NA,US,40.65,-73.55,35900
11568,STANDARD,0,Old Westbury,Westbury,,NY,Nassau County,America/New_York,"516,631,718",NA,US,40.78,-73.59,3240
11569,PO BOX,0,Point Lookout,,Pt Lookout,NY,Nassau County,America/New_York,516,NA,US,40.59,-73.58,1554
11570,STANDARD,0,Rockville Centre,Rockville Ctr,"Lakeview, Rockville Center, Rvc",NY,Nassau County,America/New_York,516,NA,US,40.66,-73.63,27160
11571,PO BOX,0,Rockville Centre,Rockville Ctr,"Rockville Center, Rvc",NY,Nassau County,America/New_York,516,NA,US,40.66,-73.63,266
11572,STANDARD,0,Oceanside,"Rockville Centre, Rockville Ctr","Rockville Center, Rvc",NY,Nassau County,America/New_York,516,NA,US,40.63,-73.63,30290
11575,STANDARD,0,Roosevelt,,,NY,Nassau County,America/New_York,516,NA,US,40.68,-73.58,16430
11576,STANDARD,0,Roslyn,,"E Hills, East Hills, Roslyn Estates, Roslyn Harbor",NY,Nassau County,America/New_York,"516,718",NA,US,40.8,-73.65,12540
11577,STANDARD,0,Roslyn Heights,Roslyn Hts,"E Hills, East Hills",NY,Nassau County,America/New_York,"516,718",NA,US,40.78,-73.64,12260
11579,STANDARD,0,Sea Cliff,,,NY,Nassau County,America/New_York,516,NA,US,40.84,-73.64,4910
11580,STANDARD,0,Valley Stream,,"N Valley Stream, North Valley Stream",NY,Nassau County,America/New_York,516,NA,US,40.66,-73.7,41510
11581,STANDARD,0,Valley Stream,,"N Woodmere, North Woodmere",NY,Nassau County,America/New_York,516,NA,US,40.65,-73.72,21490
11582,PO BOX,0,Valley Stream,,,NY,Nassau County,America/New_York,516,NA,US,40.66,-73.7,483
11590,STANDARD,0,Westbury,,New Cassel,NY,Nassau County,America/New_York,"516,631,718",NA,US,40.75,-73.58,46820
11592,UNIQUE,1,Rockville Center,"Rvc, National Profit, Rockville Ctr, Rockville Centre",,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.57,0
11594,UNIQUE,1,Westbury,115 Firms,,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.58,0
11595,UNIQUE,1,Westbury,Cheeselovers,,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.58,0
11596,STANDARD,0,Williston Park,"E Williston, East Williston, Williston Pk",,NY,Nassau County,America/New_York,516,NA,US,40.76,-73.64,10700
11597,UNIQUE,1,Westbury,115 Crm Firms,,NY,Nassau County,America/New_York,516,NA,US,40.75,-73.58,0
11598,STANDARD,0,Woodmere,,"Hewlett Neck, Woodsburgh",NY,Nassau County,America/New_York,516,NA,US,40.63,-73.72,14000
11599,STANDARD,0,Garden City,,,NY,Nassau County,America/New_York,"516,631,718",NA,US,40.72,-73.64,0
11701,STANDARD,0,Amityville,Amity Harbor,"N Amityville, North Amityville",NY,Suffolk County,America/New_York,"516,631",NA,US,40.66,-73.41,25360
11702,STANDARD,0,Babylon,"Captree Is, Captree Island, Gilgo Beach, Oak Beach, Oak Island, W Gilgo Beach, West Gilgo Beach",,NY,Suffolk County,America/New_York,"516,631",NA,US,40.69,-73.32,13780
11703,STANDARD,0,North Babylon,Babylon,N Babylon,NY,Suffolk County,America/New_York,"631,516",NA,US,40.73,-73.32,16530
11704,STANDARD,0,West Babylon,Babylon,W Babylon,NY,Suffolk County,America/New_York,"516,631",NA,US,40.71,-73.35,37590
11705,STANDARD,0,Bayport,,Bay Port,NY,Suffolk County,America/New_York,631,NA,US,40.74,-73.05,7800
11706,STANDARD,0,Bay Shore,"Fair Harbor, Kismet, Point O Woods, Saltaire","Bayshore, N Bay Shore, North Bay Shore, W Bay Shore, West Bay Shore",NY,Suffolk County,America/New_York,631,NA,US,40.72,-73.25,61130
11707,PO BOX,0,West Babylon,Babylon,W Babylon,NY,Suffolk County,America/New_York,631,NA,US,40.71,-73.35,134
11708,STANDARD,1,Amityville,,,NY,Suffolk County,America/New_York,631,NA,US,40.68,-73.41,0
11709,STANDARD,0,Bayville,,,NY,Nassau County,America/New_York,516,NA,US,40.9,-73.56,6420
11710,STANDARD,0,Bellmore,"N Bellmore, North Bellmore",,NY,Nassau County,America/New_York,"516,631",NA,US,40.65,-73.52,34190
11713,STANDARD,0,Bellport,,"N Bellport, North Bellport",NY,Suffolk County,America/New_York,631,NA,US,40.75,-72.94,10260
11714,STANDARD,0,Bethpage,,,NY,Nassau County,America/New_York,516,NA,US,40.74,-73.48,22770
11715,STANDARD,0,Blue Point,,,NY,Suffolk County,America/New_York,631,NA,US,40.75,-73.03,4440
11716,STANDARD,0,Bohemia,,,NY,Suffolk County,America/New_York,631,NA,US,40.77,-73.12,10000
11717,STANDARD,0,Brentwood,"Edgewood, W Brentwood, West Brentwood",Pine Air,NY,Suffolk County,America/New_York,"516,631",NA,US,40.78,-73.24,62310
11718,STANDARD,0,Brightwaters,,,NY,Suffolk County,America/New_York,631,NA,US,40.71,-73.26,3360
11719,STANDARD,0,Brookhaven,,S Haven,NY,Suffolk County,America/New_York,631,NA,US,40.78,-72.91,2850
11720,STANDARD,0,Centereach,"S Setauket, South Setauket",,NY,Suffolk County,America/New_York,631,NA,US,40.87,-73.08,27560
11721,STANDARD,0,Centerport,,Center Port,NY,Suffolk County,America/New_York,631,NA,US,40.9,-73.37,6310
11722,STANDARD,0,Central Islip,,"S Hauppauge, South Hauppauge",NY,Suffolk County,America/New_York,"516,631",NA,US,40.78,-73.19,35510
11724,STANDARD,0,Cold Spring Harbor,Cold Spg Hbr,,NY,Suffolk County,America/New_York,"516,631",NA,US,40.86,-73.44,3400
11725,STANDARD,0,Commack,,,NY,Suffolk County,America/New_York,631,NA,US,40.84,-73.28,28920
11726,STANDARD,0,Copiague,,Marconiville,NY,Suffolk County,America/New_York,631,NA,US,40.67,-73.39,19870
11727,STANDARD,0,Coram,,,NY,Suffolk County,America/New_York,631,NA,US,40.87,-73,26240
11729,STANDARD,0,Deer Park,,Deerpark,NY,Suffolk County,America/New_York,631,NA,US,40.76,-73.32,27300
11730,STANDARD,0,East Islip,,E Islip,NY,Suffolk County,America/New_York,631,NA,US,40.72,-73.18,13780
